ACCTNO,ACCTDESC,CUSTNUMBER,CUSTNAME,INTRATE,LIMIT,DP,LMTEXPDT,ACCTBAL,UNCLRBAL,IRREGAMT,NEWIRAC,OLDIRAC,SANC_RENDT,ARRCOND,CURRENCY,MAINTBR,IRRGDT,UNREALINT,ACCRINT,STRESS,SMA_CODE,RA,RA_DATE,WRITE_OFF_FLAG,WRITE_OFF_AMT,WRITE_OFF_DATE,NULL2,Column1,_1
30534131719,EB-MSME-CC-USUAL CREDIT D,80601856351,Aditya Patel INC,10.37,21267237,21267237,04/10/2020,13339030.49,0,0.0,0,0,20/03/2024,0,INR,0,14/03/2024,0.0,0.0,N,SMA1,,2020-02-11,N,0,00/00/0000,,,
30222824732,CC-AUTO FINANCE,80334037646,Meera Smith ASSOCIATES,8.67,25372341,25372341,01/12/2020,-14606073.34,0,0.0,6,0,10/02/2021,0,INR,0,01/05/2024,71583.31,0.0,,NPA,2,00/00/0000,N,0,00/00/0000,,,
30565492204,EB-MSME-CC-e-DFS,80782454310,Meera Joshi CO,8.7,97302916,97302916,13/07/2024,101413868.38,0,223431.5,0,5,26/06/2020,744,INR,10678,13/03/2023,0.0,0.0,,SMA1,,2023-05-05,N,0,00/00/0000,,,
30305145276,Eectronic Dealer Fin.Sch,80359154084,Nikhil Ghosh SYSTEMS,11.03,96691619,96691619,06/07/2022,-54644044.88,0,0.0,2,2,05/12/2021,819,INR,0,10/12/2023,0.0,0.0,N,NPA,,2024-02-21,N,0,00/00/0000,,,0.0
30663324548,CC-AUTO FINANCE,80403867539,Karthik Iyer MOTORS,0.0,11898961,11898961,LMT NOT SET,14064648.67,0,0.0,5,0,21/03/2023,0,INR,0,LMT NOT SET,0.0,0.0,N,N,,00/00/0000,N,0,00/00/0000,,,
30949051496,CC-AUTO FINANCE,80342329714,Amit Saxena LTD,9.19,67556566,67556566,00/00/0000,-79181439.39,0,0.0,0,0,21/12/2020,0,INR,0,12/11/2023,0.0,0.0,,N,5,2023-07-04,N,0,00/00/0000,,,
30223240112,CC-AUTO FINANCE,80341387305,Neha Johnson INDUSTRIES,0.0,51286958,51286958,15/08/2024,-36004850.38,0,0.0,0,0,15/06/2022,0,INR,10678,LMT NOT SET,18219.42,0.0,Y,NPA,5,2024-04-11,N,0,00/00/0000,,,
30398668350,EB-MSME-CC-USUAL CREDIT D,80728492896,Swati Ghosh AUTOMOBILES,9.88,53091709,53091709,00/00/0000,41844313.42,0,151226.72,4,4,06/10/2021,0,INR,10678,16/08/2024,0.0,0.0,,NPA,,00/00/0000,N,0,00/00/0000,,,
30620455331,Eectronic Dealer Fin.Sch,80130998324,Shreya Desai MOTORS,10.2,22510327,22510327,19/09/2024,-18526303.59,0,0.0,6,0,30/04/2022,849,INR,0,23/10/2020,0.0,177071.99,,SMA2,,00/00/0000,N,0,00/00/0000,,,
30808605988,MSME-OD-SECURED,80259553112,Rakesh Dutta ASSOCIATES,9.33,60628276,60628276,21/10/2021,-71938010.53,0,0.0,3,0,15/12/2023,0,INR,0,00/00/0000,0.0,29069.27,,NPA,1,2022-04-19,N,0,00/00/0000,,STD,
30939156387,EB-MSME-CC-e-DFS,80463527356,Deepika Mehta GROUP,11.41,61003997,0,07/07/2023,-62930580.49,0,0.0,2,2,04/07/2020,824,INR,0,LMT NOT SET,0.0,0.0,,,7,00/00/0000,N,0,00/00/0000,,,
30510753814,CC-AUTO FINANCE,80833510170,Shreya Ghosh TECH,8.57,44088261,44088261,00/00/0000,46876541.67,0,0.0,0,0,01/08/2023,0,INR,10678,11/02/2021,0.0,0.0,,N,1,2023-09-10,N,0,00/00/0000,,,
30935705734,Eectronic Dealer Fin.Sch,80751124015,Ananya Brown SOLUTIONS,10.43,95445405,95445405,28/05/2021,-95889213.12,0,317841.57,2,2,01/04/2023,788,INR,11476,31/10/2021,0.0,112487.47,N,NPA,,2024-08-15,N,0,00/00/0000,,STD,
30463692735,Eectronic Dealer Fin.Sch,80602866993,Vikram Joshi SOLUTIONS,11.44,63339667,0,05/07/2024,35673661.35,0,0.0,0,2,12/04/2023,797,INR,0,23/04/2021,65759.22,0.0,N,N,8,2021-09-10,N,0,00/00/0000,,,
30139956218,EB-MSME-CC-e-DFS,80628951656,Pooja Verma SOLUTIONS,0.0,70887034,70887034,01/03/2024,-62248367.65,0,0.0,4,2,26/07/2021,0,INR,0,28/04/2021,0.0,113448.51,,N,2,2024-08-14,N,0,00/00/0000,,,
30741180590,Eectronic Dealer Fin.Sch,80154308262,Olivia Bose INDUSTRIES,0.0,84384510,84384510,18/03/2021,-55955290.55,0,0.0,0,8,11/01/2023,730,INR,10678,00/00/0000,0.0,0.0,,,7,00/00/0000,N,0,00/00/0000,,,
30737444033,Eectronic Dealer Fin.Sch,80585337126,Rohan Singh VENTURES,9.21,14180968,14180968,07/09/2022,-11321964.79,0,250231.74,0,0,14/05/2020,0,INR,0,27/10/2021,0.0,0.0,N,,9,2021-03-16,N,0,00/00/0000,,,
30988434627,MSME-OD-SECURED,80528133274,Nikhil Verma GROUP,9.71,60237832,0,07/11/2023,-32949691.46,0,0.0,3,3,16/04/2023,0,INR,0,24/11/2024,77525.58,147001.53,N,,,2023-09-06,N,0,00/00/0000,,,
30697285504,EB-MSME-CC-e-DFS,80223357166,Emma Malhotra CO,11.38,93446356,93446356,09/08/2023,86559026.98,0,0.0,3,3,06/01/2021,0,INR,0,26/02/2024,0.0,0.0,,,6,2023-03-08,N,0,00/00/0000,,,
30910069356,CC-AUTO FINANCE,80153432064,Sneha Johnson LTD,10.65,69330166,69330166,17/03/2021,40188773.71,0,0.0,1,1,27/03/2021,804,INR,0,09/09/2021,0.0,0.0,,N,,00/00/0000,N,0,00/00/0000,,,
30480284107,Eectronic Dealer Fin.Sch,80526351920,Rahul Menon LLP,0.0,52018286,52018286,20/03/2023,49318493.69,0,0.0,0,4,30/08/2024,0,INR,0,21/04/2023,17078.24,0.0,N,,2,2021-02-01,N,0,00/00/0000,,,
30979339361,EB-MSME-CC-USUAL CREDIT D,80353691745,Karthik Joshi TRADERS,8.79,97980930,97980930,01/05/2024,80811452.19,0,343755.4,2,2,08/07/2023,0,INR,0,17/07/2023,0.0,0.0,,,,2024-11-04,N,0,00/00/0000,,,
30512834919,MSME-OD-SECURED,80723123952,Rahul Saxena TECH,10.61,73837847,73837847,06/05/2020,78834953.84,0,0.0,2,0,18/06/2022,0,INR,0,LMT NOT SET,0.0,0.0,N,,2,00/00/0000,N,0,00/00/0000,,,
30747145068,EB-MSME-CC-USUAL CREDIT D,80457944766,Sneha Joshi ASSOCIATES,9.24,98870276,98870276,03/05/2023,55298472.47,0,0.0,0,3,04/11/2023,0,INR,0,07/02/2020,0.0,0.0,,,,00/00/0000,N,0,00/00/0000,,,
30665359037,Eectronic Dealer Fin.Sch,80810741110,Olivia Nair GLOBAL,0.0,93851247,0,05/12/2020,49796035.69,0,0.0,0,0,08/07/2022,0,INR,15070,25/05/2024,0.0,189954.73,,,7,2022-05-07,N,0,00/00/0000,,,
30248604290,EB-MSME-CC-e-DFS,80156027635,Vivek Lewis SYSTEMS,11.74,79244185,0,00/00/0000,48514766.69,0,0.0,0,0,12/07/2022,780,INR,0,25/10/2022,0.0,0.0,,SMA1,6,00/00/0000,N,0,00/00/0000,,STD,
30992398092,EB-MSME-CC-USUAL CREDIT D,80914799481,Vivek Saxena GLOBAL,0.0,44349528,44349528,02/11/2020,44751527.63,0,0.0,0,0,13/06/2024,0,INR,0,03/02/2020,0.0,0.0,,N,3,2020-06-24,N,0,00/00/0000,,,0.0
30684203557,CC-AUTO FINANCE,80944403809,Priya Kapoor AGENCY,8.17,60103798,60103798,03/02/2020,-32894309.21,0,0.0,3,3,31/03/2020,0,INR,10678,03/11/2023,0.0,0.0,N,N,,00/00/0000,N,0,00/00/0000,,,0.0
30653388913,MSME-OD-SECURED,80975535611,Vivek Smith PVT. LTD,0.0,57912262,0,07/04/2020,-42411887.58,0,0.0,0,0,25/11/2021,0,INR,0,20/06/2024,0.0,0.0,N,N,,2021-11-02,N,0,00/00/0000,,,
30557538651,EB-MSME-CC-USUAL CREDIT D,80840629322,Rakesh Clark LTD,8.17,57319709,57319709,LMT NOT SET,-67982269.42,0,0.0,0,4,04/03/2020,675,INR,0,LMT NOT SET,0.0,0.0,,N,,00/00/0000,N,0,00/00/0000,,,
30437568796,EB-MSME-CC-e-DFS,80368018471,Pooja Patel CORP,10.0,85386435,85386435,LMT NOT SET,69367186.57,0,350050.51,0,0,19/12/2020,829,INR,10678,00/00/0000,58795.42,0.0,Y,N,6,2020-09-05,N,0,00/00/0000,,,
30630452018,Eectronic Dealer Fin.Sch,80487509692,Isabella Bhatia SYSTEMS,8.52,18824561,18824561,08/01/2024,16339473.45,0,0.0,7,7,24/10/2023,0,INR,10678,07/01/2021,0.0,174960.21,N,N,,2022-11-28,N,0,00/00/0000,,,
30781887358,CC-AUTO FINANCE,80394689553,Aditya Taylor GLOBAL,10.13,32633927,32633927,00/00/0000,31364891.85,0,0.0,4,4,06/08/2023,0,INR,10678,03/05/2022,12725.73,0.0,,NPA,,2020-05-29,N,0,00/00/0000,,,
30598690974,EB-MSME-CC-USUAL CREDIT D,80465278987,Neha Wilson GROUP,10.94,63514837,63514837,28/01/2022,-36478397.16,0,0.0,0,0,25/02/2022,0,INR,10678,29/03/2023,0.0,0.0,N,N,2,2022-11-01,N,0,00/00/0000,,,
30152246275,Eectronic Dealer Fin.Sch,80402104065,Ananya Dutta MOTORS,10.15,67838146,67838146,25/06/2021,70192111.68,0,0.0,1,1,02/03/2022,0,INR,0,30/06/2023,20692.99,0.0,,NPA,,2022-11-08,N,0,00/00/0000,,,
30866213410,EB-MSME-CC-e-DFS,80963251765,Vivek Bhatia INDUSTRIES,10.43,54018830,0,00/00/0000,64467747.19,0,0.0,1,1,30/08/2022,0,INR,11795,10/04/2023,90889.04,0.0,,N,4,2023-04-10,N,0,00/00/0000,,,
30931726993,MSME-OD-SECURED,80963251765,Vivek Bhatia,8.76,66207740,66207740,LMT NOT SET,56360904.7,0,437680.68,0,0,27/10/2021,0,INR,15140,30/07/2022,0.0,0.0,N,N,,00/00/0000,N,0,00/00/0000,,,0.0
30419561201,EB-MSME-CC-e-DFS,80856881618,Kavya Ghosh GROUP,9.92,46702849,46702849,20/03/2023,35764384.64,0,411004.96,4,4,02/01/2024,0,INR,10678,10/03/2024,0.0,0.0,,SMA2,,2025-01-27,N,0,00/00/0000,,,
30543778963,EB-MSME-CC-e-DFS,80870257350,Vivek Verma INDUSTRIES,8.02,31198492,31198492,08/12/2024,-26026217.69,0,0.0,0,0,28/08/2023,0,INR,10611,24/12/2020,85384.44,16904.57,N,,5,00/00/0000,N,0,00/00/0000,,,0.0
30459748735,EB-MSME-CC-e-DFS,80587853601,Ananya Nair VENTURES,0.0,25119192,25119192,06/02/2024,-17083196.14,0,0.0,0,0,05/06/2023,809,INR,0,31/03/2022,0.0,0.0,,,5,2021-09-10,N,0,00/00/0000,,,
30486066116,EB-MSME-CC-USUAL CREDIT D,80166705490,Pooja Bhatia MOTORS,8.64,51738753,51738753,01/08/2023,-36554790.76,0,0.0,0,3,01/05/2022,883,INR,10678,LMT NOT SET,0.0,0.0,,SMA1,2,00/00/0000,N,0,00/00/0000,,,
30714933740,CC-AUTO FINANCE,80260902774,Sanjay Wilson VENTURES,9.77,88268756,88268756,14/01/2025,94101948.92,0,0.0,1,1,23/09/2021,0,INR,10678,00/00/0000,0.0,0.0,N,NPA,,00/00/0000,N,0,00/00/0000,,,
30883068639,MSME-OD-SECURED,80502074351,Amit Saxena INC,9.5,98824290,0,29/09/2020,-73469823.53,0,0.0,0,7,28/03/2024,613,INR,10678,20/01/2023,0.0,0.0,,SMA2,,2023-09-14,N,0,00/00/0000,,,
30116799547,EB-MSME-CC-USUAL CREDIT D,80321278458,Vikram Verma GLOBAL,8.13,16533225,16533225,31/03/2020,-10978681.31,0,379649.0,0,0,19/02/2025,0,INR,10678,03/08/2024,0.0,0.0,,,3,2022-05-24,N,0,00/00/0000,,,
30790755362,MSME-OD-SECURED,80943751263,William Pillai CO,8.6,82199509,82199509,LMT NOT SET,-90442382.63,0,404830.32,1,1,01/10/2020,0,INR,0,10/06/2020,0.0,0.0,,N,1,2021-01-20,N,0,00/00/0000,,,
30333019716,MSME-OD-SECURED,80324292944,Olivia Taylor LLP,0.0,25745913,25745913,24/03/2024,-17245004.57,0,0.0,0,0,21/08/2023,0,INR,0,15/10/2022,0.0,0.0,,,1,2021-03-29,N,0,00/00/0000,,,
30727099478,CC-AUTO FINANCE,80873106931,Nikhil Brown INDUSTRIES,0.0,86475853,0,19/10/2022,100348757.42,0,136090.11,7,7,10/12/2020,0,INR,0,20/02/2025,99129.12,109549.44,,,,2024-09-21,N,0,00/00/0000,,,
30334848459,CC-AUTO FINANCE,80589636644,Isabella Kumar GLOBAL,10.55,74854563,74854563,00/00/0000,-66332407.88,0,18195.81,1,1,30/11/2023,822,INR,0,16/07/2020,0.0,0.0,N,,,2021-05-13,N,0,00/00/0000,,,
30186561759,Eectronic Dealer Fin.Sch,80200395400,Deepika Kapoor INC,0.0,11268380,11268380,18/06/2020,9056811.19,0,287269.75,0,0,08/03/2021,0,INR,10762,02/11/2023,0.0,16251.34,,NPA,3,2023-12-30,N,0,00/00/0000,,STD,
30705545509,EB-MSME-CC-USUAL CREDIT D,80708485104,Amit Davis INC,0.0,20526386,20526386,00/00/0000,-16543482.54,0,176890.45,7,0,01/03/2020,741,INR,0,29/12/2021,0.0,0.0,N,SMA1,,2020-11-11,N,0,00/00/0000,,,
30518353415,EB-MSME-CC-e-DFS,80487298927,Karthik Mehta LLP,11.77,46207439,46207439,00/00/0000,37621661.28,0,0.0,1,1,03/11/2024,0,INR,0,22/06/2020,60358.29,0.0,N,,,00/00/0000,N,0,00/00/0000,,,
30421856529,MSME-OD-SECURED,80940381893,Vikram Lewis TRADERS,11.78,76545476,76545476,04/02/2021,-45532515.17,0,0.0,2,2,16/11/2021,822,INR,0,18/10/2021,0.0,0.0,,SMA1,8,00/00/0000,N,0,00/00/0000,,,
30521910884,EB-MSME-CC-e-DFS,80222286118,Arjun Rao SYSTEMS,8.11,38138531,38138531,19/08/2021,20915592.61,0,0.0,0,0,16/05/2022,0,INR,0,31/03/2022,93114.62,0.0,Y,SMA1,9,00/00/0000,N,0,00/00/0000,,,
30481187819,EB-MSME-CC-USUAL CREDIT D,80794710793,Rahul Thakur GROUP,11.86,11415698,11415698,30/03/2021,-9853556.04,0,0.0,3,3,07/12/2021,0,INR,0,00/00/0000,0.0,0.0,,N,,2024-01-18,N,0,00/00/0000,,,
30969930526,Eectronic Dealer Fin.Sch,80124250578,Olivia Verma CORP,11.72,79255529,79255529,23/11/2020,63282256.23,0,0.0,0,0,29/02/2020,0,INR,0,LMT NOT SET,0.0,0.0,N,N,,00/00/0000,N,0,00/00/0000,,,
30786237617,EB-MSME-CC-e-DFS,80740992546,Amit Thakur TECH,8.46,71453007,71453007,24/07/2024,-75770867.07,0,0.0,0,0,16/10/2020,0,INR,0,24/02/2022,0.0,184640.59,,,,2021-10-06,N,0,00/00/0000,,,
30110290140,MSME-OD-SECURED,80246603034,Arjun Kapoor SYSTEMS,10.02,75998330,75998330,16/09/2024,-46896855.01,0,0.0,0,0,17/05/2024,0,INR,0,19/08/2020,0.0,0.0,N,SMA1,8,00/00/0000,N,0,00/00/0000,,,
30419662531,Eectronic Dealer Fin.Sch,80582896428,James Clark AUTOMOBILES,9.76,41802361,41802361,19/02/2024,31161218.4,0,0.0,0,0,19/12/2021,0,INR,0,LMT NOT SET,61546.2,107738.85,N,,7,2021-07-21,N,0,00/00/0000,,,
30368088898,EB-MSME-CC-USUAL CREDIT D,80863854401,William Bose INC,9.96,46066605,46066605,07/02/2022,-43465658.42,0,207396.88,2,2,26/09/2022,0,INR,10678,27/07/2022,72756.01,0.0,Y,SMA2,,00/00/0000,N,0,00/00/0000,,,
30621127607,EB-MSME-CC-e-DFS,80832884547,Anjali Singh EQUIPMENT AN,10.5,12185246,12185246,00/00/0000,9986573.05,0,0.0,0,0,30/11/2024,0,INR,0,31/01/2022,0.0,0.0,N,N,2,00/00/0000,N,0,00/00/0000,,,
30657749020,MSME-OD-SECURED,80109971784,Aarav Davis EQUIPMENT AN,11.95,27740248,27740248,13/04/2021,-28060214.21,0,0.0,0,0,25/11/2024,0,INR,0,00/00/0000,0.0,0.0,,N,8,2020-06-26,N,0,00/00/0000,,,
30883841357,MSME-OD-SECURED,80477458516,Swati Wilson INDUSTRIES,8.99,43308414,43308414,13/05/2023,-30291834.88,0,0.0,0,0,11/03/2024,0,INR,10678,13/06/2024,0.0,0.0,N,NPA,6,2020-09-27,N,0,00/00/0000,,,
30686645526,EB-MSME-CC-USUAL CREDIT D,80918970742,Vivek Gupta LLP,0.0,38956527,38956527,03/05/2020,30330870.83,0,0.0,0,0,03/01/2023,0,INR,0,10/06/2020,28287.77,0.0,N,SMA2,,2022-06-14,N,0,00/00/0000,,,
30192570281,MSME-OD-SECURED,80224539647,Meera Kumar MOTORS,10.66,33574794,33574794,00/00/0000,17054162.91,0,0.0,3,3,16/09/2020,739,INR,10678,01/03/2020,0.0,59960.43,N,N,,2022-10-20,N,0,00/00/0000,,,
30930355646,Eectronic Dealer Fin.Sch,80716233644,Pooja Malhotra VENTURES,8.01,11649277,11649277,24/08/2022,-13328620.25,0,466268.44,1,6,08/05/2022,0,INR,16819,LMT NOT SET,0.0,105387.78,,SMA2,1,2020-05-21,N,0,00/00/0000,,,
30433609196,EB-MSME-CC-e-DFS,80192755745,Meera Sharma ASSOCIATES,8.8,50790016,50790016,11/05/2021,46431402.44,0,498915.69,3,1,04/11/2020,605,INR,0,10/12/2021,0.0,0.0,,SMA1,,2022-12-21,N,0,00/00/0000,,,0.0
30252872361,EB-MSME-CC-e-DFS,80199886596,Rahul Malhotra VENTURES,9.65,71533194,0,22/06/2020,61075000.6,0,0.0,0,0,18/06/2021,763,INR,10678,15/02/2024,0.0,0.0,N,,,2022-08-12,N,0,00/00/0000,,,
30927142786,EB-MSME-CC-USUAL CREDIT D,80585242269,Sophia Bhatia TRADERS,0.0,50831043,0,28/11/2023,33066333.2,0,82678.66,7,7,04/09/2021,735,INR,0,08/04/2022,0.0,0.0,N,,,2024-08-13,N,0,00/00/0000,,,0.0
30190236646,CC-AUTO FINANCE,80729340221,James Gupta LLP,0.0,96702893,96702893,00/00/0000,105705236.49,0,70038.55,0,0,23/01/2024,0,INR,10678,19/12/2020,0.0,0.0,N,N,,2024-12-12,N,0,00/00/0000,,,
30247356051,MSME-OD-SECURED,80314166184,Shreya Patel INC,11.13,83083942,83083942,05/12/2021,70760539.47,0,0.0,1,0,29/07/2021,631,INR,0,19/04/2024,0.0,0.0,N,SMA1,1,2021-03-25,N,0,00/00/0000,,STD,
30286521875,EB-MSME-CC-USUAL CREDIT D,80353994846,William Clark TECH,8.11,86188876,86188876,27/02/2023,93574210.18,0,0.0,0,0,10/02/2020,0,INR,15435,16/02/2021,0.0,162460.64,,,3,2024-09-29,N,0,00/00/0000,,,
30856491925,MSME-OD-SECURED,80729230605,Karthik Davis MOTORS,9.29,68635481,68635481,24/09/2022,42687279.38,0,0.0,0,0,17/09/2020,692,INR,0,27/04/2024,0.0,184997.26,,N,,00/00/0000,N,0,00/00/0000,,,
30783100341,Eectronic Dealer Fin.Sch,80982252644,Olivia Saxena LLP,0.0,19099261,19099261,00/00/0000,9566758.91,0,0.0,0,0,20/12/2021,0,INR,10678,29/03/2023,0.0,24004.78,,,,2020-12-14,N,0,00/00/0000,,,
30199970392,EB-MSME-CC-e-DFS,80737835435,Vivek Patel CO,0.0,68277389,68277389,26/07/2020,80709260.51,0,351626.38,3,3,01/05/2021,0,INR,0,00/00/0000,0.0,0.0,N,,,00/00/0000,N,0,00/00/0000,,,
30431091936,MSME-OD-SECURED,80605672755,Ananya Smith AUTOMOBILES,10.57,59797531,0,00/00/0000,31766352.86,0,0.0,0,0,28/09/2023,0,INR,10678,27/04/2022,0.0,169751.46,,N,8,2021-04-27,N,0,00/00/0000,,,0.0
30866979905,Eectronic Dealer Fin.Sch,80639127345,Neha Reddy LTD,8.69,38439415,0,00/00/0000,21328415.6,0,108940.45,0,0,29/01/2024,0,INR,0,29/10/2021,56771.94,0.0,N,SMA1,,2020-10-30,N,0,00/00/0000,,,0.0
30207593219,Eectronic Dealer Fin.Sch,80704177085,Karthik Brown SYSTEMS,11.52,45451818,45451818,21/09/2022,-37776489.09,0,0.0,2,2,26/12/2024,0,INR,10678,LMT NOT SET,0.0,0.0,N,SMA2,2,00/00/0000,N,0,00/00/0000,,STD,
30986721049,EB-MSME-CC-e-DFS,80389287503,Nikhil Mehta ENTERPRISES,9.77,64649480,64649480,04/04/2024,-49245910.44,0,0.0,0,0,09/10/2024,870,INR,0,27/11/2024,0.0,96725.25,N,,8,2023-07-25,N,0,00/00/0000,,,
30624830763,CC-AUTO FINANCE,80578999915,Riya Dutta TECH,10.21,44716747,44716747,00/00/0000,-23217621.13,0,0.0,7,5,19/10/2023,0,INR,0,05/11/2024,0.0,0.0,N,SMA1,5,2023-12-23,N,0,00/00/0000,,,
30474423649,MSME-OD-SECURED,80370581558,Kavya Bhatia MOTORS,10.71,63304911,63304911,16/01/2020,61003702.58,0,0.0,0,0,19/11/2021,0,INR,0,27/12/2023,0.0,0.0,,SMA2,7,00/00/0000,N,0,00/00/0000,,,
30417403063,EB-MSME-CC-e-DFS,80549431487,Deepika Kapoor PVT. LTD,10.33,35489981,35489981,LMT NOT SET,31026923.22,0,0.0,1,4,30/11/2024,0,INR,0,LMT NOT SET,0.0,0.0,,,,2024-11-19,N,0,00/00/0000,,,
30379773344,CC-AUTO FINANCE,80415734988,Meera Reddy AGENCY,8.21,87888306,0,25/05/2020,-55912840.82,0,0.0,0,0,08/10/2020,0,INR,10678,00/00/0000,0.0,0.0,Y,,,00/00/0000,N,0,00/00/0000,,,
30270118413,MSME-OD-SECURED,80943113786,Sneha Nair GLOBAL,9.73,67582820,0,00/00/0000,59043583.5,0,475533.62,3,3,09/01/2020,0,INR,0,29/07/2020,0.0,0.0,,SMA1,,2024-12-23,N,0,00/00/0000,,,0.0
30626325353,EB-MSME-CC-e-DFS,80905430477,Arjun Desai INC,0.0,27610141,27610141,14/02/2020,17071055.29,0,358443.94,0,2,30/06/2023,0,INR,10678,31/08/2023,0.0,0.0,,SMA1,4,00/00/0000,N,0,00/00/0000,,,
30658677789,EB-MSME-CC-e-DFS,80768724016,Aditya Pillai EQUIPMENT AN,10.05,47944260,47944260,05/08/2020,44410828.76,0,417434.42,0,0,27/01/2023,856,INR,0,00/00/0000,0.0,0.0,Y,SMA1,2,2020-07-26,N,0,00/00/0000,,,
30417851397,EB-MSME-CC-e-DFS,80598514021,Anjali Verma CORP,11.5,58347193,0,02/10/2021,-33907347.3,0,0.0,2,0,27/06/2023,739,INR,0,00/00/0000,46069.98,0.0,N,SMA1,,2023-11-26,N,0,00/00/0000,,STD,
30211361103,MSME-OD-SECURED,80598514021,Anjali Verma GROUP,11.12,27536261,27536261,00/00/0000,-21695792.08,0,0.0,0,0,02/03/2024,897,INR,13669,03/10/2023,0.0,0.0,N,N,,2024-08-19,N,0,00/00/0000,,STD,
30790844104,EB-MSME-CC-USUAL CREDIT D,80642849045,Vivek Ghosh CORP,8.3,42331952,42331952,00/00/0000,27765297.29,0,0.0,0,0,20/10/2024,0,INR,11944,06/03/2024,0.0,0.0,,N,5,00/00/0000,N,0,00/00/0000,,,0.0
